phaseAngle,conductor,iPrimA,iSecAbs_A,iSecReal_A,iSecImag_A,bAvgMagnitude_T,hAvgMagnitude_A_m,eddyLosses_W,coreLosses_VA,storedEnergy_J,mu_r_real,mu_r_imag,current_A
0,L1,4500,4.67610957300324e+15,-4.67610957268772e+15,54321592661.9238,3.54884634287192e+16,0.130531560859373,21616.3657500801,16755628.1933725-349574.895021751i,5426.48482202869,0,0,4500
0,L2,-2250,2.33680452220557e+15,2.33680452200201e+15,-30844452085.7019,8.86721030694446e+15,0.0229485942408341,21616.3657500802,-118393.223948224+389.478488235193i,22.393384508686,0,0,4500
0,L3,-2250,2.33856617512974e+15,2.33856617512886e+15,2030690616.16345,8.87400373638479e+15,-0.000622343163683013,21616.3657500801,4906939.95148226+26701.647256597i,5426.48482202869,0,0,4500
15,L1,4346.66621830081,4.51676303274466e+15,-4.51676303272897e+15,11904130056.8459,3.31110113006059e+16,-0.00686377320488897,21616.3657500801,15633208.8939067-325860.880469507i,5426.48482202869,0,0,4500
15,L2,-1164.68570296134,1.20963487289691e+15,1.20963487283546e+15,-12193159631.2168,2.37602407900738e+15,-0.00171753699032855,21616.3657500802,-31591.9507096708+104.21122824677i,22.393384508686,0,0,4500
15,L3,-3181.98051533946,3.30720493333461e+15,3.3072049332164e+15,-27962226135.4942,1.77477174640659e+16,-0.0175632506730495,21616.3657500801,9814904.28000936+53204.2302077741i,5426.48482202869,0,0,4500
30,L1,3897.11431702997,4.0495598437233e+15,-4.04955984370804e+15,11116296889.2353,2.66154289617416e+16,0.0171094070144967,21616.3657500801,12566590.4487265-261959.03155533i,5426.48482202869,0,0,4500
30,L2,0,56706.6014916204,-5842.65992060719,-56404.8045629233,3.45944889936059,7.9258778132213e-16,21616.3657500802,122.08511891222+0.00141867566946579i,22.393384508686,0,0,4500
30,L3,-3897.11431702997,4.0504816989933e+15,4.05048169877399e+15,42149226024.3399,2.66215689883296e+16,0.0588857420337145,21616.3657500801,14722770.2499273+80388.7162435976i,5426.48482202869,0,0,4500
45,L1,3181.98051533946,3.3064783214007e+15,-3.30647832137405e+15,13276271113.4307,1.77439040207858e+16,-0.00877405836744488,21616.3657500801,8377958.61262141-174639.101122206i,5426.48482202869,0,0,4500
45,L2,1164.68570296134,1.20962748192986e+15,-1.20962748171021e+15,23051729294.8743,2.37599504373266e+15,-0.0245031304289274,21616.3657500802,-31751.1598211511+104.895273374799i,22.393384508686,0,0,4500
