conductor,eddyLosses_W,coreLosses_VA,current_A,GroupCount_rmsResults,iSecAbs_A_RMS,GroupCount_tempTable,bAvgMagnitude_T_RMS,GroupCount_rmsResults_1,hAvgMagnitude_A_m_RMS,GroupCount_tempTable_1,storedEnergy_J_RMS
L1,21616.3657500801,-2.78871122285286-0.000516538933872048i,4500,1,91337812.4702355,1,0.230795130600701,1,2.22132002279699e-16,1,5426.48482202869
L1,21616.3657500801,-2.91351293087654+1.29791713267369e-05i,4600,1,93355799.7674913,1,0.241167148866608,1,3.9568955119382e-17,1,5426.48482202869
L1,21616.3657500801,-3.04198401388438+0.000159448318747993i,4700,1,95350651.1072494,1,0.251769083701551,1,2.28802745011318e-16,1,5426.48482202869
L1,21616.3657500801,-3.17371146578335+6.09005895499449e-05i,4800,1,97383471.5224222,1,0.262591484834354,1,3.85949148189792e-16,1,5426.48482202869
L1,21616.3657500801,-3.30720874037666+0.000740743955354172i,4900,1,99429066.0648363,1,0.273652834815372,1,1.31893859739698e-16,1,5426.48482202869
L1,21616.3657500801,-3.44390238564426+0.000462973711876608i,5000,1,101452467.899182,1,0.284937267479706,1,1.11854188564731e-16,1,5426.48482202869
L1,21616.3657500801,1122123.22832298-23400.4634716954i,4500,1,1.21025320747201e+15,1,2.37722552755869e+15,1,0.00348949737960663,1,5426.48482202869
L1,21616.3657500801,1122644.87391526-23416.3697798915i,4500,1,1.21026472578924e+15,1,2.37727008429342e+15,1,0.00356305456389621,1,5426.48482202869
L1,21616.3657500801,1172551.36477828-24429.6682857659i,4600,1,1.23714718224014e+15,1,2.48405176162947e+15,1,0.00150101297346264,1,5426.48482202869
L1,21616.3657500801,1173057.70023364-24414.2105900242i,4600,1,1.23714217733452e+15,1,2.48403093903285e+15,1,0.00437219562613819,1,5426.48482202869
L1,21616.3657500801,1224079.46962765-25505.9033079251i,4700,1,1.26404102964228e+15,1,2.59322525576143e+15,1,0.00364663520310031,1,5426.48482202869
L1,21616.3657500801,1224645.38545887-25551.417232092i,4700,1,1.26404796062507e+15,1,2.59325293822966e+15,1,0.00291146340173679,1,5426.48482202869
L1,21616.3657500801,1276726.6445401-26638.1296394621i,4800,1,1.29093917992771e+15,1,2.70476454090809e+15,1,0.00102255793596929,1,5426.48482202869
L1,21616.3657500801,1277285.38446393-26611.5871293821i,4800,1,1.29093560886047e+15,1,2.70474878836865e+15,1,0.000184919612880569,1,5426.48482202869
L1,21616.3657500801,1330515.71096933-27757.9533497491i,4900,1,1.31784664578559e+15,1,2.81869218707993e+15,1,0.00114711261557009,1,5426.48482202869
L1,21616.3657500801,1331129.05991929-27752.7041406515i,4900,1,1.31785346213982e+15,1,2.81872052399774e+15,1,0.00954291472593685,1,5426.48482202869
L1,21616.3657500801,1385369.66282912-28880.8761238124i,5000,1,1.34473496045084e+15,1,2.93488637634883e+15,1,0.00100670905522188,1,5426.48482202869
L1,21616.3657500801,1385981.21055482-28928.0294510026i,5000,1,1.34474230575437e+15,1,2.93491758322054e+15,1,0.011790450394985,1,5426.48482202869
L1,21616.3657500801,4188333.28280893-87363.4695595667i,4500,1,2.33803169506779e+15,1,8.8719412100217e+15,1,0.00489739488960423,1,5426.48482202869
L1,21616.3657500801,4189185.85394912-87317.8631541782i,4500,1,2.3380331232917e+15,1,8.87195084896912e+15,1,0.00754674695592984,1,5426.48482202869
L1,21616.3657500801,4376560.94636926-91195.9585188201i,4600,1,2.38999699207642e+15,1,9.27070102284568e+15,1,0.00712938733209282,1,5426.48482202869
L1,21616.3657500801,4377381.47828252-91219.4366634113i,4600,1,2.38996762930769e+15,1,9.27047197629904e+15,1,0.00163328946164015,1,5426.48482202869
L1,21616.3657500801,4568942.49471405-95214.9480972294i,4700,1,2.44194896335912e+15,1,9.67812066789284e+15,1,0.000379019630619138,1,5426.48482202869
L1,21616.3657500801,4570028.59235401-95194.3416658517i,4700,1,2.44198584730617e+15,1,9.6784117234185e+15,1,0.00207310738816155,1,5426.48482202869
L1,21616.3657500801,4765434.69956735-99310.616064989i,4800,1,2.49389417203623e+15,1,1.00942465330019e+16,1,0.0002411036954117,1,5426.48482202869
L1,21616.3657500801,4766486.36626389-99404.3663574299i,4800,1,2.49392699104141e+15,1,1.00945108445443e+16,1,0.0135790584069632,1,5426.48482202869
L1,21616.3657500801,4966112.79547188-103527.389754839i,4900,1,2.54586176713011e+15,1,1.05193160792902e+16,1,0.00411732488689278,1,5426.48482202869
L1,21616.3657500801,4967086.92878518-103459.149618676i,4900,1,2.54588364436325e+15,1,1.05194954472774e+16,1,0.00439584586281211,1,5426.48482202869
L1,21616.3657500801,5170931.95557123-107764.924088684i,5000,1,2.59784125182971e+15,1,1.09532521202617e+16,1,0.00348446913434315,1,5426.48482202869
L1,21616.3657500801,5171932.04899867-108077.022583803i,5000,1,2.59783582763466e+15,1,1.09532048985849e+16,1,0.0639358324519512,1,5426.48482202869
L1,21616.3657500801,8376929.08268757-174586.38509694i,4500,1,3.30646155138906e+15,1,1.77437254177667e+16,1,0.00258333440466815,1,5426.48482202869
L1,21616.3657500801,8377958.61262141-174639.101122206i,4500,1,3.3064783214007e+15,1,1.77439040207858e+16,1,0.00877405836744488,1,5426.48482202869
L1,21616.3657500801,8753468.97954727-182512.638572902i,4600,1,3.37994478563228e+15,1,1.85411670082486e+16,1,0.00492913518412227,1,5426.48482202869
L1,21616.3657500801,8754577.59261887-182272.977950807i,4600,1,3.37994967396694e+15,1,1.85412191914928e+16,1,0.0120489291269929,1,5426.48482202869
L1,21616.3657500801,9138261.47899039-190618.337701452i,4700,1,3.45344721299493e+15,1,1.93563514280769e+16,1,0.0590829746768145,1,5426.48482202869
L1,21616.3657500801,9139144.45265384-190562.603935573i,4700,1,3.45341217384857e+15,1,1.9355957134015e+16,1,0.0060528234899261,1,5426.48482202869
L1,21616.3657500801,9531383.2873277-198796.130165629i,4800,1,3.52692707537895e+15,1,2.01888143493913e+16,1,0.054315012256234,1,5426.48482202869
L1,21616.3657500801,9532403.19213975-198751.467468742i,4800,1,3.52692569144867e+15,1,2.01887969288622e+16,1,0.0223697126665387,1,5426.48482202869
L1,21616.3657500801,9932521.63292807-206969.834164996i,4900,1,3.60039159530204e+15,1,2.10386240343696e+16,1,7.77551373139839e-05,1,5426.48482202869
L1,21616.3657500801,9933640.49959754-206752.206510816i,4900,1,3.60037763414054e+15,1,2.10384592294632e+16,1,0.0570585859211725,1,5426.48482202869
L1,21616.3657500801,10342232.9220753-215615.253174031i,5000,1,3.67387421063161e+15,1,2.1906168264223e+16,1,0.004326567326643,1,5426.48482202869
L1,21616.3657500801,10343280.2844932-215543.891369771i,5000,1,3.67386326293248e+15,1,2.19060359980541e+16,1,0.000142913619426497,1,5426.48482202869
L1,21616.3657500801,12565641.4841124-262085.83109172i,4500,1,4.04956810979431e+15,1,2.66155388182896e+16,1,0.0471850330940176,1,5426.48482202869
L1,21616.3657500801,12566590.4487265-261959.03155533i,4500,1,4.0495598437233e+15,1,2.66154289617416e+16,1,0.0171094070144967,1,5426.48482202869
L1,21616.3657500801,13130616.8450975-273835.464475031i,4600,1,4.13959066693663e+15,1,2.78120271945689e+16,1,0.0496433214951237,1,5426.48482202869
L1,21616.3657500801,13131542.4062009-273724.671311608i,4600,1,4.13958105858948e+15,1,2.78118968323903e+16,1,0.033750309614697,1,5426.48482202869
L1,21616.3657500801,13707716.0847318-285701.493744978i,4700,1,4.22959242316264e+15,1,2.90345357300506e+16,1,0.0107879633807915,1,5426.48482202869
L1,21616.3657500801,13709110.2903411-285395.243995761i,4700,1,4.22963383257682e+15,1,2.90351029431366e+16,1,0.138413929474426,1,5426.48482202869
L1,21616.3657500801,14297410.1069677-298133.068831565i,4800,1,4.31961826677251e+15,1,3.02836755902314e+16,1,0.0102689302462455,1,5426.48482202869
L1,21616.3657500801,14298067.1058038-297662.34482084i,4800,1,4.3195421498414e+15,1,3.02826069637788e+16,1,0.0708617168034994,1,5426.48482202869
L1,21616.3657500801,14898721.1965192-310542.149346357i,4900,1,4.40950989570206e+15,1,3.15572020348562e+16,1,0.00359285408605227,1,5426.48482202869
L1,21616.3657500801,14900086.3542693-310322.75487081i,4900,1,4.40956488793814e+15,1,3.15579877340476e+16,1,0.0405025568856555,1,5426.48482202869
L1,21616.3657500801,15513478.9392878-323392.782580958i,5000,1,4.49956638760691e+15,1,3.28593656312344e+16,1,0.0117650033800083,1,5426.48482202869
L1,21616.3657500801,15514320.7146059-323554.442720065i,5000,1,4.49953689317422e+15,1,3.28589333680221e+16,1,0.0431703941436578,1,5426.48482202869
L1,21616.3657500801,15632701.2656552-326031.738113463i,4500,1,4.51673629889003e+15,1,3.311062003932e+16,1,0.0180586176053834,1,5426.48482202869
L1,21616.3657500801,15633208.8939067-325860.880469507i,4500,1,4.51676303274466e+15,1,3.31110113006059e+16,1,0.00686377320488897,1,5426.48482202869
L1,21616.3657500801,16335343.9266988-340211.796357525i,4600,1,4.61711882005805e+15,1,3.45987129903312e+16,1,0.0410688786730134,1,5426.48482202869
L1,21616.3657500801,16335692.9267993-340515.222444935i,4600,1,4.6171312361405e+15,1,3.45988983481658e+16,1,0.0536441066102779,1,5426.48482202869
L1,21616.3657500801,16755628.1933725-349574.895021751i,4500,2,4.67610957300324e+15,2,3.54884634287192e+16,2,0.130531560859373,2,5426.48482202869
L1,21616.3657500801,17053159.5294329-355905.346100333i,4700,1,4.71745160929298e+15,1,3.61187531577928e+16,1,0.142126761431219,1,5426.48482202869
L1,21616.3657500801,17053398.2315007-355449.167336785i,4700,1,4.71745329032422e+15,1,3.61187781432055e+16,1,0.00544708764453777,1,5426.48482202869
L1,21616.3657500801,17508157.3765503-364963.322785316i,4600,2,4.77998977773009e+15,2,3.70827363170765e+16,2,0.00311184880674537,2,5426.48482202869
L1,21616.3657500801,17786209.6159695-370494.157808038i,4800,1,4.8178622255217e+15,1,3.76726867878175e+16,1,0.0258401150557869,1,5426.48482202869
